perimetro,area,DPA_PARROQ,DPA_DESPAR,Area ha,Parroquia,COD,PIT,CLASIFICAC,SUBCLASIFI,NIVEL_USO,PIT_TRATAM,ACT_GENERA,USO_GENERA,SECTOR,COD_UE,SUBCLAS_UR,COD_PARR,ubicacion,tratamient,densidad,area_2,codigo,zona,LOTE_MIN,DENS_PROP,ALTURA_MAX,SUBCLASS,area_m2
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P01,ASENTAMIENTO RURAL,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,RESIDENCIAL RURAL,RESIDENCIAL RURAL,,,,"010167",,,,0.081636744582161,,RU,"0",,"0",PRODUCCION,816.3677
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P01,ASENTAMIENTO RURAL,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,RESIDENCIAL RURAL,RESIDENCIAL RURAL,,,,"010167",,,,87.482715268138080,,RU,"0",,"0",PRODUCCION,874827.1597
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P01,ASENTAMIENTO RURAL,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,RESIDENCIAL RURAL,RESIDENCIAL RURAL,,,,"010167",,,,116.681343200837929,,RU,"0",,"0",PRODUCCION,1166813.4375
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02,ASENTAMIENTO RURAL CONCENTRADO,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,23.912621890625473,,RU,"0",,"0",PRODUCCION,239126.2192
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02,ASENTAMIENTO RURAL CONCENTRADO,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,21.334260164918245,,RU,"0",,"0",PRODUCCION,213342.5947
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02,ASENTAMIENTO RURAL CONCENTRADO,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,86.640838510307674,,RU,"0",,"0",PRODUCCION,866408.3823
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02,ASENTAMIENTO RURAL CONCENTRADO,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,11.506683541324810,,RU,"0",,"0",PRODUCCION,115066.8354
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02,ASENTAMIENTO RURAL CONCENTRADO,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,36.240891913331922,,RU,"0",,"0",PRODUCCION,362408.9180
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02,ASENTAMIENTO RURAL CONCENTRADO,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010165",,,,44.215983783864601,,RU,"0",,"0",PRODUCCION,442159.8413
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,24.319991724421715,,RU,"0",,"0",PRODUCCION,243199.9175
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,12.360679670651438,,RU,"0",,"0",PRODUCCION,123606.7969
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,12.360677768124487,,RU,"0",,"0",PRODUCCION,123606.7773
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,12.360679583266583,,RU,"0",,"0",PRODUCCION,123606.7959
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,24.634070293699672,,RU,"0",,"0",PRODUCCION,246340.7036
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,12.360680871533974,,RU,"0",,"0",PRODUCCION,123606.8101
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,10.416777931777341,,RU,"0",,"0",PRODUCCION,104167.7798
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,12.360679649146416,,RU,"0",,"0",PRODUCCION,123606.7964
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,12.360679543044849,,RU,"0",,"0",PRODUCCION,123606.7954
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,7.048144423875764,,RU,"0",,"0",PRODUCCION,70481.4448
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,0.989398544388390,,RU,"0",,"0",PRODUCCION,9893.9863
47461.90,46643871.83,"010167",SININCAY,4666.16597500,SININCAY,P02_02,ASENTAMIENTO RURAL CONCENTRADO - con radio de influencia de 200m.,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010167",,,,2.644770756049799,,RU,"0",,"0",PRODUCCION,26447.7070
