perimetro,area,DPA_PARROQ,DPA_DESPAR,Area ha,Parroquia,COD,PIT,CLASIFICAC,SUBCLASIFI,NIVEL_USO,PIT_TRATAM,ACT_GENERA,USO_GENERA,SECTOR,COD_UE,SUBCLAS_UR,COD_PARR,ubicacion,tratamient,densidad,area_2,codigo,zona,LOTE_MIN,DENS_PROP,ALTURA_MAX,SUBCLASS,area_m2
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,P02,ASENTAMIENTO RURAL CONCENTRADO,RURAL,PRODUCCION,ASENTAMIENTOS RURALES,PROMOCION PRODUCTIVA,PRODUCTIVAS,RESIDENCIAL RURAL,,,,"010166",,,,16.520600738842536,,RU,"0",,"0",PRODUCCION,165206.0078
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,PR05_02,ASENTAMIENTO EN AREA DE AMORTIGUAMIENTO DEL AREA ARQUEOLOGICA EL PLATEADO,RURAL,PROTECCION,ARQUEOLOGICA O VALOR HISTORICO Y PATRIMONIAL,CONSERVACION,CONSERVACION,PROTECCION DEL PATRIMONIO HISTORICO Y CULTURAL,,,,"010158",,,,15.221570033544621,,RU,"0",,"0",PROTECCION,152215.7021
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RO03,EQUIPAMIENTO DE HIDROCARBUROS EXISTENTE,RURAL,PRODUCCION,EQUIPAMIENTO DE HIDROCARBUROS,PROMOCION PRODUCTIVA,EQUIPAMIENTO,EQUIPAMIENTO,,,,"010156",,,,37.614468109735114,,RU,"0",,"0",PRODUCCION,376144.6821
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RO04,EQUIPAMIENTO EXISTENTE,RURAL,PRODUCCION,EQUIPAMIENTO EXISTENTE,PROMOCION PRODUCTIVA,EQUIPAMIENTO,EQUIPAMIENTO,,,,"010158",,,,25.703959654882556,,RU,"0",,"0",PRODUCCION,257039.5977
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Mejoramiento integral,Baja,64.544215223782345,E-18,E,"500",Baja,"3",SUELO URBANO NO CONSOLIDADO,645442.1533
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,41.802051646116112,EXP-RIC-1,EXP,"750",Baja,"2",SUELO RURAL DE EXPANSION URBANA,418020.5249
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,69.265145474771657,EXP-NUL-2,EXP,"750",Baja,"2",SUELO RURAL DE EXPANSION URBANA,692651.4644
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,63.311144077977211,EXP-LLA-1,EXP,"750",Baja,"2",SUELO RURAL DE EXPANSION URBANA,633111.4395
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Consolidacion,Baja,22.691597267531726,E-34,E,"120",Baja,"3",SUELO URBANO NO CONSOLIDADO,226915.9751
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U01,SUELO URBANO CONSOLIDADO,URBANO,SUELO URBANO CONSOLIDADO,URBANO,RENOVACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Sostenimiento,Alta,320.619132993925120,E-23,E,"120",Alta,"4",SUELO URBANO CONSOLIDADO,3206191.3311
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Cabecera urbano parroquial,,,,Cabecera Urbano-Parroquial,Mejoramiento integral,Media,34.063511008515590,UP-CHI-2,UP,"300",Media,"3",SUELO URBANO NO CONSOLIDADO,340635.1084
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,89.276634866818853,EXP-ELV-2,EXP,"750",Baja,"2",SUELO RURAL DE EXPANSION URBANA,892766.3496
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Consolidacion,Baja,406.252306742487292,E-15,E,"500",Baja,"3",SUELO URBANO NO CONSOLIDADO,4062523.0562
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Mejoramiento integral,Baja,118.823083532187411,E-2,E,"350",Baja,"2",SUELO URBANO NO CONSOLIDADO,1188230.8408
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Media,29.835192338531314,UP-RIC-7,UP,"500",Baja,"3",SUELO URBANO NO CONSOLIDADO,298351.9258
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Media,161.576412265606905,EXP-SIN-1,EXP,"750",Baja,"2",SUELO RURAL DE EXPANSION URBANA,1615764.1201
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Media,142.498208407277531,EXP-RIC-4,EXP,"750",Baja,"2",SUELO RURAL DE EXPANSION URBANA,1424982.0850
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Consolidacion,Baja,145.669264430342679,E-28,E,"120",Baja,"4",SUELO URBANO NO CONSOLIDADO,1456692.6416
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Media,27.581623410056302,UP-RIC-5,UP,"120",Baja,"3",SUELO URBANO NO CONSOLIDADO,275816.2373
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,SI01,AREA INDUSTRIAL,URBANO,SUELO URBANO NO CONSOLIDADO,INDUSTRIAL,DESARROLLO,PRODUCCION INDUSTRIAL,INDUSTRIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Baja,17.490823871820179,UP-NUL-2,UP,"600",Baja,"0",SUELO URBANO NO CONSOLIDADO,174908.2402
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,174.886357671631743,EXP-ELV-3,EXP,"750",Baja,"2",SUELO RURAL DE EXPANSION URBANA,1748863.5801
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Mejoramiento integral,Baja,97.022019953461324,E-13,E,"750",Baja,"4",SUELO URBANO NO CONSOLIDADO,970220.2002
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U03,SUELO URBANO DE PROTECCION,URBANO,SUELO URBANO DE PROTECCION,URBANO,CONSERVACION Y REDENSIFICACION,RESIDENCIAL,RESIDENCIAL,Centro,,,,Urbano,Sostenimiento y conservacion arqueologica,Media,44.469423227644050,CH-A1,CE,"0",Media,"0",SUELO URBANO DE PROTECCION,444694.2246
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Consolidacion,Media,42.250219634096212,E-10,E,"500",Media,"4",SUELO URBANO NO CONSOLIDADO,422502.1895
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Desarrollo,Baja,232.943169878554670,E-7,E,"120",Media,"15",SUELO URBANO NO CONSOLIDADO,2329431.6816
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U01,SUELO URBANO CONSOLIDADO,URBANO,SUELO URBANO CONSOLIDADO,URBANO,RENOVACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Renovacion,Media,188.645378134009604,E-8,E,"120",Media,"6",SUELO URBANO CONSOLIDADO,1886453.7905
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Baja,8.677480118994136,UP-LLA-3,UP,"600",Baja,"0",SUELO URBANO NO CONSOLIDADO,86774.8003
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U01,SUELO URBANO CONSOLIDADO,URBANO,SUELO URBANO CONSOLIDADO,URBANO,RENOVACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Sostenimiento,Baja,109.997968220725795,E-30,E,"600",Baja,"0",SUELO URBANO CONSOLIDADO,1099979.6826
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Baja,55.321803872318114,UP-BAN-12,UP,"300",Baja,"2",SUELO URBANO NO CONSOLIDADO,553218.0396
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,39.386300629207682,EXP-CHI-2,EXP,"500",Baja,"2",SUELO RURAL DE EXPANSION URBANA,393863.0103
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Media,72.154393878865051,UP-SIN-6,UP,"300",Media,"2",SUELO URBANO NO CONSOLIDADO,721543.9370
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Cabecera urbano parroquial,,,,Cabecera Urbano-Parroquial,Consolidacion,Media,22.493059502240978,UP-SAY-3,UP,"120",Media,"6",SUELO URBANO NO CONSOLIDADO,224930.5884
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Mejoramiento integral,Baja,43.190284543010506,E-6,E,"600",Baja,"0",SUELO URBANO NO CONSOLIDADO,431902.8408
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Media,80.277661666887198,UP-BAN-10,UP,"120",Media,"6",SUELO URBANO NO CONSOLIDADO,802776.6128
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Baja,62.924737733836871,UP-BAN-11,UP,"120",Media,"2",SUELO URBANO NO CONSOLIDADO,629247.3794
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Media,32.106394125105638,UP-SIN-8,UP,"120",Baja,"4",SUELO URBANO NO CONSOLIDADO,321063.9399
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Media,83.715358964032418,UP-TUR-8,UP,"300",Baja,"2",SUELO URBANO NO CONSOLIDADO,837153.5854
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Media,59.827245945798779,UP-SAY-6,UP,"300",Baja,"3",SUELO URBANO NO CONSOLIDADO,598272.4692
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Media,49.654226312593394,UP-RIC-6,UP,"300",Baja,"3",SUELO URBANO NO CONSOLIDADO,496542.2603
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Media,45.804076592652422,UP-RIC-11,UP,"120",Baja,"3",SUELO URBANO NO CONSOLIDADO,458040.7700
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Oeste,,,,Urbano,Consolidacion,Alta,99.636145673625279,O-25,O,"120",Alta,"13",SUELO URBANO NO CONSOLIDADO,996361.4565
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Cabecera urbano parroquial,,,,Cabecera Urbano-Parroquial,Mejoramiento integral,Media,23.881300770775507,UP-RIC-3,UP,"200",Media,"6",SUELO URBANO NO CONSOLIDADO,238813.0049
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Oeste,,,,Urbano,Mejoramiento integral,Media,39.083322033546636,O-23,O,"300",Media,"4",SUELO URBANO NO CONSOLIDADO,390833.2202
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Oeste,,,,Urbano,Consolidacion,Media,15.022533597166627,O-18,O,"120",Media,"7",SUELO URBANO NO CONSOLIDADO,150225.3379
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Cabecera urbano parroquial,,,,Cabecera Urbano-Parroquial,Mejoramiento integral,Media,22.781936921334371,UP-BAN-3,UP,"120",Media,"4",SUELO URBANO NO CONSOLIDADO,227819.3711
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Cabecera urbano parroquial,,,,Cabecera Urbano-Parroquial,Mejoramiento integral,Media,7.121485609358306,UP-BAN-2,UP,"0",Media,"0",SUELO URBANO NO CONSOLIDADO,71214.8594
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Oeste,,,,Urbano,Mejoramiento integral,Media,78.865157906052374,O-17,O,"120",Media,"6",SUELO URBANO NO CONSOLIDADO,788651.5801
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,43.249781730670762,EXP-NUL-3,EXP,"500",Baja,"2",SUELO RURAL DE EXPANSION URBANA,432497.8169
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Baja,43.025990868195109,UP-SIN-11,UP,"120",Baja,"4",SUELO URBANO NO CONSOLIDADO,430259.9102
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U03,SUELO URBANO DE PROTECCION,URBANO,SUELO URBANO DE PROTECCION,URBANO,CONSERVACION Y REDENSIFICACION,RESIDENCIAL,RESIDENCIAL,Centro,,,,Urbano,Conservacion y sostenimiento de interes paisajistico,Media,11.649158370072168,AH-1,CE,"0",Media,"0",SUELO URBANO DE PROTECCION,116491.5840
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Mejoramiento integral,Baja,28.448856164608738,E-12,E,"600",Baja,"0",SUELO URBANO NO CONSOLIDADO,284488.5625
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,72.389218714182235,EXP-SIN-3,EXP,"750",Baja,"2",SUELO RURAL DE EXPANSION URBANA,723892.1851
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,59.904300022516011,EXP-ELV-1,EXP,"1500",Baja,"2",SUELO RURAL DE EXPANSION URBANA,599043.0054
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Oeste,,,,Urbano,Mejoramiento integral,Media,72.063687877280842,O-22,O,"120",Media,"15",SUELO URBANO NO CONSOLIDADO,720636.8740
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Mejoramiento integral,Baja,65.170551073796517,E-29,E,"120",Baja,"7",SUELO URBANO NO CONSOLIDADO,651705.5122
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Mejoramiento integral,Baja,9.798471050384329,E-5,E,"120",Baja,"7",SUELO URBANO NO CONSOLIDADO,97984.7119
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Oeste,,,,Urbano,Mejoramiento integral,Baja,102.780640995932941,O-24,O,"500",Media,"4",SUELO URBANO NO CONSOLIDADO,1027806.4150
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Cabecera urbano parroquial,,,,Cabecera Urbano-Parroquial,Consolidacion,Media,62.086903813760507,UP-RIC-2,UP,"120",Media,"6",SUELO URBANO NO CONSOLIDADO,620869.0405
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,"-",24.932907089550099,UP-SIN-13,UP,"120",Baja,"4",SUELO URBANO NO CONSOLIDADO,249329.0737
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Este,,,,Urbano,Consolidacion,Media,56.094242225474119,E-11,E,"120",Media,"7",SUELO URBANO NO CONSOLIDADO,560942.4224
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,RE05,SUELO RURAL DE EXPANSION URBANA,RURAL,SUELO RURAL DE EXPANSION URBANA,EXPANSION URBANA,DESARROLLO,RESIDENCIAL,RESIDENCIAL,Expansion urbana,,,,Rural,Desarrollo,Baja,89.959271088968293,EXP-RIC-2,EXP,"500",Baja,"2",SUELO RURAL DE EXPANSION URBANA,899592.7056
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Oeste,,,,Urbano,Consolidacion,Media,52.973240043365429,O-28,O,"120",Media,"6",SUELO URBANO NO CONSOLIDADO,529732.4004
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Oeste,,,,Urbano,Mejoramiento integral,Baja,13.863559172457508,O-13,O,"0",Baja,"2",SUELO URBANO NO CONSOLIDADO,138635.5908
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Media,60.382440690407144,UP-RIC-12,UP,"300",Baja,"2",SUELO URBANO NO CONSOLIDADO,603824.4028
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Oeste,,,,Urbano,Mejoramiento integral,Baja,69.242889123503900,O-16,O,"200",Baja,"2",SUELO URBANO NO CONSOLIDADO,692428.8906
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Urbano parroquial,,,,Urbano-Parroquial,Desarrollo,Media,14.260525832446161,UP-CHI-5,UP,"600",Baja,"0",SUELO URBANO NO CONSOLIDADO,142605.2686
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U02,SUELO URBANO NO CONSOLIDADO,URBANO,SUELO URBANO NO CONSOLIDADO,URBANO,CONSOLIDACION,RESIDENCIAL,RESIDENCIAL,Oeste,,,,Urbano,Mejoramiento integral,Baja,93.551336106680751,O-1,O,"120",Media,"6",SUELO URBANO NO CONSOLIDADO,935513.3574
94089.56,71645605.78,"010150",CUENCA,7167.61954600,CUENCA,U03,SUELO URBANO DE PROTECCION,URBANO,SUELO URBANO DE PROTECCION,URBANO,CONSERVACION Y REDENSIFICACION,RESIDENCIAL,RESIDENCIAL,Centro,,,,Urbano,Conservacion y desarrollo sostenido,Media,49.660807090878109,CH-E3,CE,"0",Media,"0",SUELO URBANO DE PROTECCION,496608.0713
